type,path,expected_size,actual_size,expected_hash,actual_hash,status
CONFIG,hydrology/groundwater_storage/resolved_config.yaml,3893,3893,aa2442c10fb52dc5d6b3a3f9889136811244c5525cec7adc0b07e94080d5a4cc,aa2442c10fb52dc5d6b3a3f9889136811244c5525cec7adc0b07e94080d5a4cc,PASSED
METRICS,hydrology/groundwater_storage/groundwater_storage_domain_mean_timeseries_2016.json,334,334,41cc54405c695469e146f457c276099ef6a06681863bdcdda3e1bc2db4c202b2,41cc54405c695469e146f457c276099ef6a06681863bdcdda3e1bc2db4c202b2,PASSED
IMAGE,hydrology/groundwater_storage/groundwater_storage_differences_2016.png,226176,226176,bc23574d2af71563cd22d9c6af9206072c03eaeed539eb41d213bece2872be87,bc23574d2af71563cd22d9c6af9206072c03eaeed539eb41d213bece2872be87,PASSED
METRICS,hydrology/groundwater_storage/groundwater_storage_annual_mean_2016.json,319,319,ed6f7b8400a4c1515dddb3b46be764cba43294424ba1c0e230aab59a62d5c1ac,ed6f7b8400a4c1515dddb3b46be764cba43294424ba1c0e230aab59a62d5c1ac,PASSED
OTHER,hydrology/groundwater_storage/03_groundwater_storage_domain_mean_timeseries_2016.pdf,21267,21267,ff5b61cf566eff58852402e93274749155f0c2ea2ae309cbdf34a9c0c958e77c,ff5b61cf566eff58852402e93274749155f0c2ea2ae309cbdf34a9c0c958e77c,PASSED
OTHER,hydrology/groundwater_storage/02_groundwater_storage_differences_2016.pdf,218475,218475,8c727e0faf8b9b166f0bc0938f199054e73cfa2d500b10db64c691b323ee5eb2,8c727e0faf8b9b166f0bc0938f199054e73cfa2d500b10db64c691b323ee5eb2,PASSED
OTHER,hydrology/groundwater_storage/01_groundwater_storage_annual_mean_2016.pdf,147015,147015,0d299e5702099bef944ac10d834025daec9f3ea2cf449d2a9629d1c1ea0ab22f,0d299e5702099bef944ac10d834025daec9f3ea2cf449d2a9629d1c1ea0ab22f,PASSED
IMAGE,hydrology/groundwater_storage/groundwater_storage_domain_mean_timeseries_2016.png,327631,327631,67bc10172412c213a4401d905b93976acb5fccb73d358a362db2a2e5f2bd533c,67bc10172412c213a4401d905b93976acb5fccb73d358a362db2a2e5f2bd533c,PASSED
METRICS,hydrology/groundwater_storage/groundwater_storage_differences_2016.json,317,317,3c9345339217dfde82af31d33c5beeba51c3bac39891f8ec7d9ebb01f538b76a,3c9345339217dfde82af31d33c5beeba51c3bac39891f8ec7d9ebb01f538b76a,PASSED
IMAGE,hydrology/groundwater_storage/03_groundwater_storage_domain_mean_timeseries_2016.png,649232,649232,0ec5199ea39d055564bbc34e7301add2e2374e5fc248916e505d49cfd0a0ea2f,0ec5199ea39d055564bbc34e7301add2e2374e5fc248916e505d49cfd0a0ea2f,PASSED
IMAGE,hydrology/groundwater_storage/02_groundwater_storage_differences_2016.png,674512,674512,bf5387fd5db2cb2c454ee2f276b6ab383c4da803d4d603f90f454bcb64276547,bf5387fd5db2cb2c454ee2f276b6ab383c4da803d4d603f90f454bcb64276547,PASSED
