date,file_name,product,version,file_size_mb,status
2017-06-26,MCD15A2H.A2017177.h17v05.061.2021276212609.hdf,MCD15A2H,061,5.11,Downloaded
2017-07-04,MCD15A2H.A2017185.h17v05.061.2021283133547.hdf,MCD15A2H,061,5.06,Downloaded
2017-07-12,MCD15A2H.A2017193.h17v05.061.2021283133843.hdf,MCD15A2H,061,4.89,Downloaded
2017-07-20,MCD15A2H.A2017201.h17v05.061.2021283134134.hdf,MCD15A2H,061,4.88,Downloaded
2017-07-28,MCD15A2H.A2017209.h17v05.061.2021283134511.hdf,MCD15A2H,061,4.83,Downloaded
2017-08-05,MCD15A2H.A2017217.h17v05.061.2021283134910.hdf,MCD15A2H,061,4.89,Downloaded
2017-08-13,MCD15A2H.A2017225.h17v05.061.2021283135230.hdf,MCD15A2H,061,4.73,Downloaded
2017-08-21,MCD15A2H.A2017233.h17v05.061.2021283135649.hdf,MCD15A2H,061,5.01,Downloaded
2017-08-29,MCD15A2H.A2017241.h17v05.061.2021283135833.hdf,MCD15A2H,061,5.28,Downloaded
2017-09-06,MCD15A2H.A2017249.h17v05.061.2021284224825.hdf,MCD15A2H,061,4.9,Downloaded
2017-09-14,MCD15A2H.A2017257.h17v05.061.2021286021909.hdf,MCD15A2H,061,4.92,Downloaded
2017-09-22,MCD15A2H.A2017265.h17v05.061.2021289044025.hdf,MCD15A2H,061,5.07,Downloaded
2017-09-30,MCD15A2H.A2017273.h17v05.061.2021289044426.hdf,MCD15A2H,061,4.97,Downloaded
2017-10-08,MCD15A2H.A2017281.h17v05.061.2021289045417.hdf,MCD15A2H,061,4.92,Downloaded
2017-10-16,MCD15A2H.A2017289.h17v05.061.2021289052128.hdf,MCD15A2H,061,5.26,Downloaded
2017-10-24,MCD15A2H.A2017297.h17v05.061.2021289052612.hdf,MCD15A2H,061,4.76,Downloaded
2017-11-01,MCD15A2H.A2017305.h17v05.061.2021289053256.hdf,MCD15A2H,061,5.19,Downloaded
2017-11-09,MCD15A2H.A2017313.h17v05.061.2021290202253.hdf,MCD15A2H,061,4.91,Downloaded
2017-11-17,MCD15A2H.A2017321.h17v05.061.2021290203300.hdf,MCD15A2H,061,4.8,Downloaded
2017-11-25,MCD15A2H.A2017329.h17v05.061.2021294004137.hdf,MCD15A2H,061,5.06,Downloaded
2017-12-03,MCD15A2H.A2017337.h17v05.061.2021294015636.hdf,MCD15A2H,061,4.99,Downloaded
2017-12-11,MCD15A2H.A2017345.h17v05.061.2021294023216.hdf,MCD15A2H,061,5.29,Downloaded
2017-12-19,MCD15A2H.A2017353.h17v05.061.2021294024524.hdf,MCD15A2H,061,5.21,Downloaded
2017-12-27,MCD15A2H.A2017361.h17v05.061.2021295115914.hdf,MCD15A2H,061,5.35,Downloaded
2018-01-01,MCD15A2H.A2018001.h17v05.061.2021305200759.hdf,MCD15A2H,061,5.28,Downloaded
2018-01-09,MCD15A2H.A2018009.h17v05.061.2021313103601.hdf,MCD15A2H,061,5.54,Downloaded
2018-01-17,MCD15A2H.A2018017.h17v05.061.2021314013211.hdf,MCD15A2H,061,5.38,Downloaded
2018-01-25,MCD15A2H.A2018025.h17v05.061.2021315070737.hdf,MCD15A2H,061,5.68,Downloaded
2018-02-02,MCD15A2H.A2018033.h17v05.061.2021317192714.hdf,MCD15A2H,061,5.84,Downloaded
2018-02-10,MCD15A2H.A2018041.h17v05.061.2021317013553.hdf,MCD15A2H,061,5.77,Downloaded
2018-02-18,MCD15A2H.A2018049.h17v05.061.2021317193611.hdf,MCD15A2H,061,5.96,Downloaded
2018-02-26,MCD15A2H.A2018057.h17v05.061.2021319125119.hdf,MCD15A2H,061,6.04,Downloaded
2018-03-06,MCD15A2H.A2018065.h17v05.061.2021319130229.hdf,MCD15A2H,061,6.15,Downloaded
2018-03-14,MCD15A2H.A2018073.h17v05.061.2021324050530.hdf,MCD15A2H,061,6.33,Downloaded
